path	refs_in	refs_out
docs/development/onboarding.md	10	39
docs/README.md	1	33
docs/architecture/README.md	2	18
docs/agent-guidance/ai-agent-guide.md	4	15
docs/quick-start.md	2	14
docs/architecture/openapi-pipeline.md	6	11
docs/data/DATA-VARIANCES.md	5	11
docs/development/README.md	0	9
docs/development/extending.md	2	9
docs/agent-guidance/README.md	0	7
docs/VISION.md	3	6
docs/agent-guidance/logging-guidance.md	0	5
docs/curriculum-guide.md	3	5
docs/development/workflow.md	2	5
docs/development/build-system.md	6	4
docs/development/environment-variables.md	5	4
docs/development/production-debugging-runbook.md	2	4
docs/agent-guidance/development-practice.md	5	3
docs/architecture/programmatic-tool-generation.md	2	3
docs/architecture/provider-system.md	2	2
docs/data/README.md	0	2
docs/development/testing-patterns.md	1	2
docs/architecture/openai-connector-deprecation.md	1	1
docs/development/tooling.md	4	1
docs/development/troubleshooting.md	4	1
docs/agent-guidance/curriculum-tools-guidance-and-playbooks.md	0	0
docs/agent-guidance/safety-and-security.md	3	0
docs/agent-guidance/typescript-practice.md	4	0
docs/agent-guidance/understanding-agent-references.md	1	0
docs/architecture/greek-ecosystem-deprecation.md	1	0
docs/architecture/provider-contracts.md	0	0
docs/development/ci-policy.md	1	0
docs/development/release-and-publishing.md	3	0
